tcId,summary,username,password,menu,accountId,expectedResult
FCB-10055,IslamicBanking_MurabahaFinancing_Verify_MurabahaAccountDisbursment_CarsShortTerm_ByChecker_E1,QA47,Infy@123,VFADR,''40100624601301312794,successfully
FCB-10056,IslamicBanking_MurabahaFinancing_Verify_MurabahaAccountDisbursment_CarsMedium&LongTerm_ByChecker_E2,QA47,Infy@123,VFADR,''40110624601301312809,successfully
FCB-10057,IslamicBanking_MurabahaFinancing_Verify_MurabahaAccountDisbursment_MicroFinanceShortTerm_4012_ByChecker_E3,QA47,Infy@123,VFADR,''40120624601301312815,successfully
FCB-10058,IslamicBanking_MurabahaFinancing_Verify_MurabahaAccountDisbursment_RetailProjectsShortTerm_ByChecker_E4,QA47,Infy@123,VFADR,''40130624601301312821,successfully
FCB-10059,IslamicBanking_MurabahaFinancing_Verify_MurabahaAccountDisbursment_RetailProjectsMedium&LongTerm_ByChecker_E5,QA47,Infy@123,VFADR,''40140624601301312844,successfully
FCB-10060,IslamicBanking_MurabahaFinancing_Verify_MurabahaAccountDisbursment_LivestockShortTerm_ByChecker_E6,QA47,Infy@123,VFADR,''40150624601301312850,successfully
FCB-10061,IslamicBanking_MurabahaFinancing_Verify_MurabahaAccountDisbursment_LivestockMedium&LongTerm_ByChecker_E7,QA47,Infy@123,VFADR,''40160624601301312866,successfully
FCB-10062,IslamicBanking_MurabahaFinancing_Verify_MurabahaAccountDisbursment_MicroFinanceCBEShortTerm_ByChecker_E8,QA47,Infy@123,VFADR,''40170624601301312889,successfully
FCB-10063,IslamicBanking_MurabahaFinancing_Verify_MurabahaAccountDisbursment_MicroFinanceCBEMedium&LongTerm_ByChecker_E9,QA47,Infy@123,VFADR,''40180624601301312901,successfully
FCB-10064,IslamicBanking_MurabahaFinancing_Verify_MurabahaAccountDisbursment_SMEs-S-CBE-ShortTerm_ByChecker_E10,QA47,Infy@123,VFADR,''40000624601301312919,successfully
