"tcId","summary","username","password","menu","accountId","expectedResult"
"FCB-338","Finance_P/L Zeroization_Authorize_OfficeAccount_RetainedEarningsAccount_ByChecker","ABE56","Infy@123","voa","","verified successfully"
"FCB-336","Finance_P/L Zeroization_Authorize_OfficeAccount_IncomeExpenseAccount_ByChecker","ABE57","Infy@123","voa","","verified successfully"
"FCB-308","Finance_P/L Zeroization_Authorize_OfficeAccount_IncomeExpenseAccount_ByChecker","ABE58","Infy@123","voa","","verified successfully"
"FCB-460","Finance_ContingentAccounts_Verify_OfficeAccount_ContingentAsset_EGP_ByChecker","ABE56","Infy@123","voa","","verified successfully"
"FCB-461","Finance_ContingentAccounts_Verify_OfficeAccount_ContingentLiability_EGP_ByChecker","ABE57","Infy@123","voa","","verified successfully"
"FCB-529","Finance_PointingAccounts_Verify_OfficeAccount_EGP_ByChecker","ABE58","Infy@123","voa","","verified successfully"
"FCB-541","Finance_PointingAccounts_Verify_OfficeAccount_USD_ByChecker","ABE58","Infy@123","voa","","verified successfully"
"FCB-305","Finance_CashAccounts_Verify_OfficeAccount__Teller_Cash_GBP_ByChecker","ABE52","Infy@123","voa","","verified successfully"
"FCB-299","Finance_CashAccounts_Verify_OfficeAccount_Teller_Cash_EGP_ByChecker","ABE52","Infy@123","voa","","verified successfully"
"FCB-302","Finance_CashAccounts_Verify_OfficeAccount_Vault_Cash_USD_ByChecker","ABE51","Infy@123","voa","","verified successfully"
