tcId,summary,username,password,menu,accountId,closureValueDate,repaymentAccountId,expectedResult,linkedTcid
FCB-9881,IslamicBanking_Preclose_MudarabahTUA_MTD2Y_RepaymentAccount_ByMaker_F1,QA46,Infy@123,CITUDA,'17520624601301002549,'16-10-2023,'1606624601301001,successfully,FCB-9882
FCB-9885,IslamicBanking_Close_MudarabahTUA_MTD2Y_IndicativeRate_ByMaker_H1,QA46,Infy@123,CITUDA,'17520624601301002655,'16-10-2023,'1606624601301001,successfully,FCB-9886
FCB-10177,IslamicBanking_WakalahTUA_Preclose_WakalahTUA_WTD07_ByMaker_H1,QA46,Infy@123,CITUDA,'17510624601301002571,'16-10-2023,'1606624601301001,successfully,FCB-10178
FCB-10179,IslamicBanking_WakalahTUA_Preclose_WakalahTUA_WTD1M_ByMaker_I1,QA46,Infy@123,CITUDA,'17530624601301002586,'16-10-2023,'1606624601301001,successfully,FCB-10180
FCB-10181,IslamicBanking_WakalahTUA_Preclose_WakalahTUA_WTD3M_ByMaker_J1,QA46,Infy@123,CITUDA,'17540624601301002592,'16-10-2023,'1606624601301001,successfully,FCB-10182
FCB-10183,IslamicBanking_WakalahTUA_Preclose_WakalahTUA_WTD6M_ByMaker_K1,QA46,Infy@123,CITUDA,'17550624601301002607,'16-10-2023,'1606624601301001,successfully,FCB-10184
FCB-10185,IslamicBanking_WakalahTUA_Preclose_WakalahTUA_WTD9M_ByMaker_L1,QA46,Infy@123,CITUDA,'17560624601301002613,'16-10-2023,'1606624601301001,successfully,FCB-10186
FCB-10187,IslamicBanking_WakalahTUA_Preclose_WakalahTUA_WTD1Y_ByMaker_M1,QA46,Infy@123,CITUDA,'17580624601301002628,'16-10-2023,'1606624601301001,successfully,FCB-10188
FCB-10189,IslamicBanking_WakalahTUA_Preclose_WakalahTUA_WTD2Y_ByMaker_N1,QA46,Infy@123,CITUDA,'17600624601301002630,'16-10-2023,'1606624601301001,successfully,FCB-10190
FCB-10191,IslamicBanking_WakalahTUA_Preclose_WakalahTUA_WTD3Y_ByMaker_O1,QA46,Infy@123,CITUDA,'17590624601301002641,'16-10-2023,'1606624601301001,successfully,FCB-10192
FCB-10195,IslamicBanking_WakalahTUA_Close_WakalahTUA_OnMaturity_ByMaker_Q1,QA46,Infy@123,CITUDA,'17510624601301002663,'16-10-2023,'1606624601301001,successfully,FCB-10196
