tcId,summary,username,password,menu,cif,schemeCode,ccy,initialDepositAmmount,debitAcId,expectedResult,reference,dailyPeriod,monthlyPeriod,linkedTcid
FCB-11191,Liabilities_Create_TimeDeposit_TM2_EGP_MinimumAmount_Maker,ABE40,Infy@123,INSTTD,1111111,1153,EGP,500,'100200003298011487,Account opened successfully,,0,2,FCB-11192
FCB-11254,Liabilities_Deposit_Create_TimeDeposit_TY3_EUR_3YEAR_Maker,ABE40,Infy@123,INSTTD,1111111,1156,EUR,500,'10100000005203864,Account opened successfully,'11560111111103005493,0,36,FCB-11255
FCB-11177,Liabilities_Deposit_Create_TimeDeposit_TM1_EUR_1MON_Maker,ABE40,Infy@123,INSTTD,1111111,1159,EUR,500,'10100000005203864,Account opened successfully,,,,FCB-11178
FCB-11188,Liabilities_Deposit_Create_TimeDeposit_TM2_EUR_2MON_Maker,ABE40,Infy@123,INSTTD,1111111,1153,EUR,500,'10100000005203864,Account opened successfully,,,,FCB-11189
FCB-11167,Liabilities_Create_TimeDeposit_TW7_EGP_MinimumAmount_Maker,ABE40,Infy@123,INSTTD,1111111,1157,EGP,500,'100200003298011487,Account opened successfully,,0,7,FCB-11168
FCB-11199,Liabilities_Deposit_Create_TimeDeposit_TM3_EUR_3MON_Maker,ABE40,Infy@123,INSTTD,1111111,1154,EUR,500,'10100000005203864,Account opened successfully,,,,FCB-11200
FCB-11210,Liabilities_Deposit_Create_TimeDeposit_TM6_EUR_6MON_Maker,ABE40,Infy@123,INSTTD,1111111,1155,EUR,500,'10100000005203864,Account opened successfully,,,,FCB-11211
FCB-11221,Liabilities_Deposit_Create_TimeDeposit_TM9_EUR_9MON_Maker,ABE40,Infy@123,INSTTD,1111111,1160,EUR,500,'10100000005203864,Account opened successfully,,,,FCB-11222
FCB-11232,Liabilities_Deposit_Create_TimeDeposit_TY1_EUR_1YEAR_Maker,ABE40,Infy@123,INSTTD,1111111,1150,EUR,500,'10100000005203864,Account opened successfully,,,,FCB-11233
FCB-1124,Liabilities_Deposit_Create_TimeDeposit_TY2_EUR_2YEAR_Maker,ABE40,Infy@123,INSTTD,1111111,1151,EUR,500,'10100000005203864,Account opened successfully,,,,FCB-11244
FCB-11265,Liabilities_Deposit_Create_TimeDeposit_TY5_EUR_5YEAR_Maker,ABE40,Infy@123,INSTTD,1111111,1152,EUR,500,'10100000005203864,Account opened successfully,,,,FCB-11266
FCB-11276,Liabilities_Deposit_Create_TimeDeposit_TY7_EUR_7YEAR_Maker,ABE40,Infy@123,INSTTD,1111111,1161,EUR,500,'10100000005203864,Account opened successfully,,,,FCB-11277
FCB-11301,Liabilities_Deposit_Create_TimeDeposit_TY7M_EGP_7YEAR_MonthlyInterest_Maker,ABE40,Infy@123,INSTTD,1111111,1184,EGP,500,'100200003298011487,Account opened successfully,,0,84,FCB-11300
FCB-11235,Liabilities_Create_TimeDeposit_TY1_EGP_MinimumAmount_Maker,ABE40,Infy@123,INSTTD,1111111,1150,EGP,500,'100200003298011487,Account opened successfully,,0,12,FCB-11236
FCB-11304,Liabilities_Create_TimeDeposit_TY7M_EGP_MinimumAmount_Maker,ABE40,Infy@123,INSTTD,2222222,1184,EGP,500,'100200003298011487,Account opened successfully,,0,84,FCB-11302
