tcId,summary,username,password,menu,murabahaAccountId,valueDate,creditAccountId,expectedResult,linkedTcid
FCB-10020,IslamicBanking_MurabahaFinancing_Disburse_MurabahaAccount_CarsShortTerm_4010_ByMaker_D1,ABE31,Infy@123,PFAD,'40100624601301314217,'10-10-2023,''160602127297010017,successfully,FCB-10055
FCB-10021,IslamicBanking_MurabahaFinancing_Disburse_MurabahaAccount_CarsMedium&LongTerm_4011_ByMaker_D2,ABE31,Infy@123,PFAD,'40110624601301314223,'10-10-2023,'160602127297010017,successfully,FCB-10056
FCB-10022,IslamicBanking_MurabahaFinancing_Disburse_MurabahaAccount_MicroFinanceShortTerm_4012_ByMaker_D3,ABE31,Infy@123,PFAD,'40120624601301314239,'10-10-2023,'160602127297010017,successfully,FCB-10057
FCB-10023,IslamicBanking_MurabahaFinancing_Disburse_MurabahaAccount_RetailProjectsShortTerm_4013_ByMaker_D4,ABE31,Infy@123,PFAD,'40130624601301314245,'10-10-2023,'160602127297010017,successfully,FCB-10058
FCB-10024,IslamicBanking_MurabahaFinancing_Disburse_MurabahaAccount_RetailProjectsMedium&LongTerm_4014_ByMaker_D5,ABE31,Infy@123,PFAD,'40140624601301314251,'10-10-2023,'160602127297010017,successfully,FCB-10059
FCB-10025,IslamicBanking_MurabahaFinancing_Disburse_MurabahaAccount_LivestockShortTerm_4015_ByMaker_D6,ABE31,Infy@123,PFAD,'40150624601301314267,'10-10-2023,'160602127297010017,successfully,FCB-10060
FCB-10026,IslamicBanking_MurabahaFinancing_Disburse_MurabahaAccount_LivestockMedium&LongTerm_4016_ByMaker_D7,ABE31,Infy@123,PFAD,'40160624601301314273,'10-10-2023,'160602127297010017,successfully,FCB-10061
FCB-10027,IslamicBanking_MurabahaFinancing_Disburse_MurabahaAccount_MicroFinanceCBEShortTerm_4017_ByMaker_D8,ABE31,Infy@123,PFAD,'40170624601301314289,'10-10-2023,'160602127297010017,successfully,FCB-10062
FCB-10028,IslamicBanking_MurabahaFinancing_Disburse_MurabahaAccount_MicroFinanceCBEMedium&LongTerm_4018_ByMaker_D9,ABE31,Infy@123,PFAD,'40180624601301314295,'10-10-2023,'160602127297010017,successfully,FCB-10063
FCB-10029,IslamicBanking_MurabahaFinancing_Disburse_MurabahaAccount_SMEs-S-CBE-ShortTerm_4000_ByMaker_D10,ABE31,Infy@123,PFAD,'40000624601301314302,'10-10-2023,'160602127297010017,successfully,FCB-10064
