tcId,summary,username,password,menu,billType,type,billCcy,cifId,underDocumentaryCredit,documentaryCreditNo,operativeAccountId,drawerSwiftAddressDetails,billAmount,billCountry,lodgeDate,draweeName,draweeAddress,draweeSwiftAddressDetails,draweeBankAddressType,draweeBankIdentifier,draweeBankSwiftAddressDetails,draweeBankName,draweeBankAddress,beneficiaryBankAddressType,beneficiaryBankIdentifier,beneficiaryBankSwiftAddressDetails,beneficiaryBankName,beneficiaryBankAddress,collectingBankAddressType,collectingBankIdentifier,collectingBankSwiftAddressDetails,collectingBankName,collectingBankAddress,correspondentBankAddressType,correspondentBankIdentifier,correspondentBankSwiftAddressDetails,correspondentBankName,correspondentBankAddress,sightBillDate,sightOnboardDate,sightDueDate,usanceTenorMonths,usanceTenorDays,usanceBillDate,usanceOnboardDate,mixedBillAmount1,mixedBillTenor1,mixedBillTenorMonths1,mixedBillTenorDays1,mixedBillDate1,mixedBillOnboardDate1,mixedBillDueDate1,mixedBillAmount2,mixedBillTenor2,mixedBillTenorMonths2,mixedBillTenorDays2,mixedBillDate2,mixedBillOnboardDate2,mixedBillDueDate2,invoiceAmount,invoiceNumber,invoiceDate,documentStatus,notionalConversionRate,expectedResult,reference,linkedTcid,acceptLinkedTcid,verifyAcceptLinkedTcid,purchaseLinkedTcid,verifyPurchaseLinkedTcid,realizeLinkedTcid,verifyRealizeLinkedTcid
FCB-6871,TradeFinance_Export_Bills_Under_Collection_Lodge_Sight_Foreign_EUR_ByMaker_M1,PT19,Infy@123,LEOB,FOBCS,sight,EUR,'06617304,no,,'10100661730403001,yes,1,EG,'13-11-2023,A,A,yes,Bank Identifier,'SBNKEGCXHAR,yes,A,A,Bank Identifier,'SBNKEGCXHAR,yes,A,A,Bank Identifier,'SBNKEGCXHAR,yes,A,A,Bank Identifier,'SBNKEGCXHAR,yes,A,A,'13-11-2023,'13-11-2023,'13-11-2024,,,,,,,,,,,,,,,,,,,1,1,'13-11-2023,,'NOR,successfully,'1401EDC23000306,FCB-6872,,,,,FCB-6875,FCB-6876
FCB-6851,TradeFinance_Export_Bills_Under_Collection_Lodge_Mixed Tenor_Local_EGP_ByMaker_H1,PT19,Infy@123,LEOB,LOBCM,mixed tenor,EGP,'06617304,no,,'10100661730401001,yes,2,EG,'13-11-2023,A,A,yes,Bank Identifier,'SBNKEGCXHAR,yes,A,A,Bank Identifier,'SBNKEGCXHAR,yes,A,A,Bank Identifier,'SBNKEGCXHAR,yes,A,A,Bank Identifier,'SBNKEGCXHAR,yes,A,A,,,,,,,,1,usance,12,0,'13-11-2023,'13-11-2023,,1,sight,,,'13-11-2023,'13-11-2023,'13-11-2024,2,2,'13-11-2023,,'NOR,successfully,'1401EDC23000307,FCB-6852,FCB-6853,FCB-6854,,,FCB-6855,FCB-6856
FCB-6803,TradeFinance_Export_Bills_Under_Collection_Lodge_Usance_Local_EGP_ByMaker_C1,PT19,Infy@123,LEOB,LOBCU,usance,EGP,'06617304,no,,'10100661730401001,yes,1,EG,'13-11-2023,A,A,yes,Bank Identifier,'SBNKEGCXHAR,yes,A,A,Bank Identifier,'SBNKEGCXHAR,yes,A,A,Bank Identifier,'SBNKEGCXHAR,yes,A,A,Bank Identifier,'SBNKEGCXHAR,yes,A,A,,,,12,0,'13-11-2023,'13-11-2023,,,,,,,,,,,,,,,1,3,'13-11-2023,,'NOR,successfully,'1401EDC23000310,FCB-6804,FCB-6805,FCB-6806,FCB-6809,FCB-6810,FCB-6807,FCB-6808
FCB-6811,TradeFinance_Export_Bills_Under_Collection_Lodge_Usance_Foreign_USD_ByMaker_D1,PT19,Infy@123,LEOB,FOBCU,usance,USD,'06617304,no,,'10100661730402001,yes,1,EG,'13-11-2023,A,A,yes,Bank Identifier,'SBNKEGCXHAR,yes,A,A,Bank Identifier,'SBNKEGCXHAR,yes,A,A,Bank Identifier,'SBNKEGCXHAR,yes,A,A,Bank Identifier,'SBNKEGCXHAR,yes,A,A,,,,12,0,'13-11-2023,'13-11-2023,,,,,,,,,,,,,,,1,4,'13-11-2023,,'NOR,successfully,'1401EDC23000311,FCB-6812,FCB-6813,FCB-6814,,,,
FCB-6823,TradeFinance_Export_Bills_Under_Collection_Lodge_Usance_Foreign_EUR_ByMaker_E1,PT19,Infy@123,LEOB,FOBCU,usance,EUR,'06617304,no,,'10100661730403001,yes,1,EG,'13-11-2023,A,A,yes,Bank Identifier,'SBNKEGCXHAR,yes,A,A,Bank Identifier,'SBNKEGCXHAR,yes,A,A,Bank Identifier,'SBNKEGCXHAR,yes,A,A,Bank Identifier,'SBNKEGCXHAR,yes,A,A,,,,12,0,'13-11-2023,'13-11-2023,,,,,,,,,,,,,,,1,5,'13-11-2023,,'NOR,successfully,'1401EDC23000312,FCB-6824,FCB-6825,FCB-6826,FCB-6829,FCB-6830,FCB-6827,FCB-6828
FCB-6831,TradeFinance_Export_Bills_Under_Collection_Lodge_Mixed Tenor_Foreign_USD_ByMaker_F1,PT19,Infy@123,LEOB,FOBCM,mixed tenor,USD,'06617304,no,,'10100661730402001,yes,2,EG,'13-11-2023,A,A,yes,Bank Identifier,'SBNKEGCXHAR,yes,A,A,Bank Identifier,'SBNKEGCXHAR,yes,A,A,Bank Identifier,'SBNKEGCXHAR,yes,A,A,Bank Identifier,'SBNKEGCXHAR,yes,A,A,,,,,,,,1,usance,12,0,'13-11-2023,'13-11-2023,,1,usance,12,0,'13-11-2023,'13-11-2023,,2,6,'13-11-2023,,'NOR,successfully,'1401EDC23000313,FCB-6832,FCB-6833,FCB-6834,FCB-6839,FCB-6840,FCB-6835,FCB-6836
FCB-7176,TradeFinance_Export_Bills_Under_Documentary_Credit_Lodge_Usance_Local_EGP_ByMaker_A1,PT19,Infy@123,LEOB,LOBLU,usance,EGP,'06617304,yes,'1401ELC23000003,'10100661730401001,yes,1,EG,'13-11-2023,A,A,yes,Bank Identifier,'SBNKEGCXHAR,yes,A,A,Bank Identifier,'SBNKEGCXHAR,yes,A,A,Bank Identifier,'SBNKEGCXHAR,yes,A,A,Bank Identifier,'SBNKEGCXHAR,yes,A,A,,,,12,0,'13-11-2023,'13-11-2023,,,,,,,,,,,,,,,1,7,'13-11-2023,clean,'NOR,successfully,'1401EDC23000316,FCB-7177,FCB-7178,FCB-7179,FCB-7182,FCB-7183,FCB-7180,FCB-7181
FCB-7208,TradeFinance_Export_Bills_Under_Documentary_Credit_Lodge_Usance_Foreign_USD_ByMaker_F1,PT19,Infy@123,LEOB,FEBLU,usance,USD,'06617304,yes,'1401ELC23000006,'10100661730402001,yes,1,EG,'13-11-2023,A,A,yes,Bank Identifier,'SBNKEGCXHAR,yes,A,A,Bank Identifier,'SBNKEGCXHAR,yes,A,A,Bank Identifier,'SBNKEGCXHAR,yes,A,A,Bank Identifier,'SBNKEGCXHAR,yes,A,A,,,,12,0,'13-11-2023,'13-11-2023,,,,,,,,,,,,,,,1,8,'13-11-2023,clean,'NOR,successfully,'1401EDC23000317,FCB-7209,FCB-7210,FCB-7211,FCB-7216,FCB-7217,,
FCB-7200,TradeFinance_Export_Bills_Under_Documentary_Credit_Lodge_Sight_Foreign_EUR_ByMaker_D1,PT19,Infy@123,LEOB,FEBLS,sight,EUR,'06617304,yes,'1401ELC23000005,'10100661730403001,yes,1,EG,'13-11-2023,A,A,yes,Bank Identifier,'SBNKEGCXHAR,yes,A,A,Bank Identifier,'SBNKEGCXHAR,yes,A,A,Bank Identifier,'SBNKEGCXHAR,yes,A,A,Bank Identifier,'SBNKEGCXHAR,yes,A,A,'13-11-2023,'13-11-2023,'13-11-2024,,,,,,,,,,,,,,,,,,,1,9,'13-11-2023,clean,'NOR,successfully,'1401EDC23000318,FCB-7201,,,,,FCB-7202,FCB-7203
FCB-7204,TradeFinance_Export_Bills_Under_Documentary_Credit_Lodge_Sight_Local_EGP_ByMaker_E1,PT19,Infy@123,LEOB,LOBLS,sight,EGP,'06617304,yes,'1401ELC23000004,'10100661730401001,yes,1,EG,'13-11-2023,A,A,yes,Bank Identifier,'SBNKEGCXHAR,yes,A,A,Bank Identifier,'SBNKEGCXHAR,yes,A,A,Bank Identifier,'SBNKEGCXHAR,yes,A,A,Bank Identifier,'SBNKEGCXHAR,yes,A,A,'13-11-2023,'13-11-2023,'13-11-2024,,,,,,,,,,,,,,,,,,,1,10,'13-11-2023,clean,'NOR,successfully,'1401EDC23000319,FCB-7205,,,,,,
