tcId,summary,username,password,menu,cif,schemeCode,accountOpeningDate,loanAmount,loanPeriodMonths,loanPeriodDays,equatedInstallment,numberOfInstallments,installmentFrequency,installmentStartDate,date,interestFrequency,interestStartDate,operativeAccountId,expiryDate,documentDate,limitIdPrefix,limitIdSuffix,drawingPowerIndicator,expectedResult,reference,linkedTcid,modifyLinkedTcid,disburseLinkedTcid
FCB-12204,Assets_CLA_Corporate_OpenLoan_Unsecured_Floating_CLSMK_EGP_ByMaker_BE1,PT17,Infy@123,OCLA,'06578824,2292,'17-10-2023,10000,12,0,yes,12,monthly,'17-11-2023,17,,,'10010657882401001,'01-01-2099,'17-10-2023,,,equal,successfully,'2292065788240100899 ,FCB-12013,FCB-12012,FCB-12039
FCB-12206,Assets_CLA_Corporate_OpenLoan_Unsecured_Floating_CLSFT_EGP_ByMaker_BF1,PT17,Infy@123,OCLA,'06578824,2293,'17-10-2023,50000,6,0,no,1,bullet,'17-11-2025,17,monthly,'17-10-2023,'10010657882401001,'01-01-2099,'17-10-2023,,,equal,successfully,'2293065788240100904 ,FCB-12022,FCB-12021,FCB-12041
FCB-12208,Assets_CLA_Corporate_OpenLoan_Unsecured_Floating_LSMCB_EGP_ByMaker_BG1,PT17,Infy@123,OCLA,'06578824,2294,'17-10-2023,100000,12,0,yes,12,monthly,'17-11-2023,17,,,'10010657882401001,'01-01-2099,'17-10-2023,'123456789,'CUSTL,equal,successfully,'2294065788240100912 ,FCB-12024,FCB-12023,FCB-12043
FCB-12210,Assets_CLA_Corporate_OpenLoan_Unsecured_Floating_LSSCB_EGP_ByMaker_BH1,PT17,Infy@123,OCLA,'06578824,2295,'17-10-2023,70000,12,0,yes,4,quarterly,'17-11-2023,17,,,'10010657882401001,'01-01-2099,'17-10-2023,,,equal,successfully,'2295065788240100920 ,FCB-12026,FCB-12025,FCB-12045
FCB-12212,Assets_CLA_Corporate_OpenLoan_Unsecured_Floating_CPOLN_EGP_ByMaker_BI1,PT17,Infy@123,OCLA,'06578824,2296,'17-10-2023,200000,24,0,yes,24,monthly,'17-11-2023,17,,,'10010657882401001,'01-01-2099,'17-10-2023,,,equal,successfully,'2296065788240100938 ,FCB-12028,FCB-12027,FCB-12047
FCB-22643,Assets_CLA_Corporate_OpenLoan_Unsecured_Floating_CLSMK_EGP_ByMaker_BE1,PT17,Infy@123,OCLA,'06578824,2292,'17-10-2023,10000,12,0,yes,12,monthly,'17-11-2023,17,,,'10010657882401001,'01-01-2099,'17-10-2023,,,equal,successfully,'2292065788240100941 ,FCB-12205,,FCB-12049
FCB-22644,Assets_CLA_Corporate_OpenLoan_Unsecured_Floating_CLSFT_EGP_ByMaker_BF1,PT17,Infy@123,OCLA,'06578824,2293,'17-10-2023,50000,6,0,no,1,bullet,'17-11-2025,17,monthly,'17-10-2023,'10010657882401001,'01-01-2099,'17-10-2023,,,equal,successfully,'2293065788240100959 ,FCB-12207,,FCB-12051
FCB-22645,Assets_CLA_Corporate_OpenLoan_Unsecured_Floating_LSMCB_EGP_ByMaker_BG1,PT17,Infy@123,OCLA,'06578824,2294,'17-10-2023,100000,12,0,yes,12,monthly,'17-11-2023,17,,,'10010657882401001,'01-01-2099,'17-10-2023,'123456789,'CUSTL,equal,successfully,'2294065788240100967 ,FCB-12209,,FCB-22648
FCB-22646,Assets_CLA_Corporate_OpenLoan_Unsecured_Floating_LSSCB_EGP_ByMaker_BH1,PT17,Infy@123,OCLA,'06578824,2295,'17-10-2023,70000,12,0,yes,4,quarterly,'17-11-2023,17,,,'10010657882401001,'01-01-2099,'17-10-2023,,,equal,successfully,'2295065788240100975 ,FCB-12211,,FCB-22649
FCB-22647,Assets_CLA_Corporate_OpenLoan_Unsecured_Floating_CPOLN_EGP_ByMaker_BI1,PT17,Infy@123,OCLA,'06578824,2296,'17-10-2023,200000,24,0,yes,24,monthly,'17-11-2023,17,,,'10010657882401001,'01-01-2099,'17-10-2023,,,equal,successfully,'2296065788240100983 ,FCB-12213,,FCB-22650
