tcId,summary,username,password,menu,cif,schemeCode,accountOpeningDate,assetValue,customerMargin,financePeriodMonths,financePeriodDays,debitAccountId,equatedInstallment,numberOfInstallments,installmentFrequency,installmentStartDate,date,profitFrequency,profitStartDate,operativeAccountId,expiryDate,documentDate,limitIdPrefix,limitIdSuffix,drawingPowerIndicator,expectedResult,reference,linkedTcid,disburseTcid
FCB-9938,IslamicBanking_MurabahaFinancing_Open_MurabahaAccount_CarsShortTerm_4010_ByMaker_B1,PT9,Infy@123,OIFAT,6246013,4010,'10-10-2023,10000,2000,12,0,'1606624601301001,yes,12,monthly,'10-11-2023,10,,,'1606624601301001,01/01/2099,'10-10-2023,'1000,'CUSTL,equal,successfully,'40100624601301319557,FCB-9973,FCB-10020
FCB-9939,IslamicBanking_MurabahaFinancing_Open_MurabahaAccount_CarsMedium&LongTerm_4011_ByMaker_B2,PT9,Infy@123,OIFAT,6246013,4011,'10-10-2022,50000,0,24,0,'1606624601301001,no,1,,'10-10-2024,10,monthly,'10-10-2022,'1606624601301001,01/01/2099,'10-10-2022,,,equal,successfully,'40110624601301319587,FCB-9974,FCB-10021
FCB-9940,IslamicBanking_MurabahaFinancing_Open_MurabahaAccount_MicroFinanceShortTerm_4012_ByMaker_B3,PT9,Infy@123,OIFAT,6246013,4012,'10-10-2023,100000,0,12,0,'1606624601301001,yes,12,monthly,'10-11-2023,10,,,'1606624601301001,01/01/2099,'10-10-2023,,,equal,successfully,'40120624601301319609,FCB-9975,FCB-10022
FCB-9941,IslamicBanking_MurabahaFinancing_Open_MurabahaAccount_RetailProjectsShortTerm_4013_ByMaker_B4,PT9,Infy@123,OIFAT,6246013,4013,'10-08-2023,70000,30000,12,0,'1606624601301001,yes,4,quarterly,'10-11-2023,10,,,'1606624601301001,01/01/2099,'10-08-2023,,,equal,successfully,'40130624601301319622,FCB-9976,FCB-10023
FCB-9942,IslamicBanking_MurabahaFinancing_Open_MurabahaAccount_RetailProjectsMedium&LongTerm_4014_ByMaker_B5,PT9,Infy@123,OIFAT,6246013,4014,'10-10-2023,200000,50000,24,0,'1606624601301001,yes,24,monthly,'10-11-2023,10,,,'1606624601301001,01/01/2099,'10-10-2023,,,equal,successfully,'40140624601301319638,FCB-9977,FCB-10024
FCB-9943,IslamicBanking_MurabahaFinancing_Open_MurabahaAccount_LivestockShortTerm_4015_ByMaker_B6,PT9,Infy@123,OIFAT,6246013,4015,'10-05-2023,90000,0,12,0,'1606624601301001,yes,2,half yearly,'10-11-2023,10,,,'1606624601301001,01/01/2099,'10-05-2023,,,equal,successfully,'40150624601301319644,FCB-9978,FCB-10025
FCB-9944,IslamicBanking_MurabahaFinancing_Open_MurabahaAccount_LivestockMedium&LongTerm_4016_ByMaker_B7,PT9,Infy@123,OIFAT,6246013,4016,'10-10-2023,200000,0,24,0,'1606624601301001,yes,24,monthly,'10-11-2023,10,,,'1606624601301001,01/01/2099,'10-10-2023,,,equal,successfully,'40160624601301319650,FCB-9979,FCB-10026
FCB-9945,IslamicBanking_MurabahaFinancing_Open_MurabahaAccount_MicroFinanceCBEShortTerm_4017_ByMaker_B8,PT9,Infy@123,OIFAT,6246013,4017,'03-10-2023,100000,0,12,0,'1606624601301001,yes,48,weekly,'10-10-2023,10,,,'1606624601301001,01/01/2099,'03-10-2023,,,equal,successfully,'40170624601301319697,FCB-9980,FCB-10027
FCB-9946,IslamicBanking_MurabahaFinancing_Open_MurabahaAccount_MicroFinanceCBEMedium&LongTerm_4018_ByMaker_B9,PT9,Infy@123,OIFAT,6246013,4018,'10-10-2023,80000,0,24,0,'1606624601301001,no,1,,'10-10-2025,10,weekly,'10-10-2023,'1606624601301001,01/01/2099,'10-10-2023,,,equal,successfully,'40180624601301319672,FCB-9981,FCB-10028
FCB-9947,IslamicBanking_MurabahaFinancing_Open_MurabahaAccount_SMEs-S-CBE-ShortTerm_4000_ByMaker_B10,PT9,Infy@123,OIFAT,6246013,4000,'10-10-2023,150000,10000,6,0,'1606624601301001,yes,6,monthly,'10-11-2023,10,,,'1606624601301001,01/01/2099,'10-10-2023,,,equal,successfully,'40000624601301319680,FCB-9982,FCB-10029
