tcId,summary,username,password,menu,cif,schemeCode,assetValue,financePeriodMonths,financePeriodDays,debitAccountId,equatedInstallment,numberOfInstallments,installmentFrequency,installmentStartDate,date,calendar,onHoliday,operativeAccountId,expiryDate,documentDate,limitId,drawingPowerIndicator,expectedResult,reference,linkedTcid
FCB-9938,IslamicBanking_MurabahaFinancing_Open_MurabahaAccount_CarsShortTerm_4010_ByMaker_B1,QA46,Infy@123,OIFAT,6246013,4010,100000,12,0,'1606624601301001,yes,12,monthly,03/10/2023,1,gregorian calendar,next day,'1606624601301001,01/01/2099,03/10/2023,,equal,successfully,,FCB-9973
FCB-9939,IslamicBanking_MurabahaFinancing_Open_MurabahaAccount_CarsMedium&LongTerm_4011_ByMaker_B2,QA46,Infy@123,OIFAT,6246013,4011,100000,12,0,'1606624601301001,yes,12,monthly,03/10/2023,1,gregorian calendar,next day,'1606624601301001,01/01/2099,03/10/2023,,equal,successfully,,FCB-9974
FCB-9940,IslamicBanking_MurabahaFinancing_Open_MurabahaAccount_MicroFinanceShortTerm_4012_ByMaker_B3,QA46,Infy@123,OIFAT,6246013,4012,100000,12,0,'1606624601301001,yes,12,monthly,03/10/2023,1,gregorian calendar,next day,'1606624601301001,01/01/2099,03/10/2023,,equal,successfully,,FCB-9975
FCB-9941,IslamicBanking_MurabahaFinancing_Open_MurabahaAccount_RetailProjectsShortTerm_4013_ByMaker_B4,QA46,Infy@123,OIFAT,6246013,4013,100000,12,0,'1606624601301001,yes,12,monthly,03/10/2023,1,gregorian calendar,next day,'1606624601301001,01/01/2099,03/10/2023,,equal,successfully,,FCB-9976
FCB-9942,IslamicBanking_MurabahaFinancing_Open_MurabahaAccount_RetailProjectsMedium&LongTerm_4014_ByMaker_B5,QA46,Infy@123,OIFAT,6246013,4014,100000,12,0,'1606624601301001,yes,12,monthly,03/10/2023,1,gregorian calendar,next day,'1606624601301001,01/01/2099,03/10/2023,,equal,successfully,,FCB-9977
FCB-9943,IslamicBanking_MurabahaFinancing_Open_MurabahaAccount_LivestockShortTerm_4015_ByMaker_B6,QA46,Infy@123,OIFAT,6246013,4015,100000,12,0,'1606624601301001,yes,12,monthly,03/10/2023,1,gregorian calendar,next day,'1606624601301001,01/01/2099,03/10/2023,,equal,successfully,,FCB-9978
FCB-9944,IslamicBanking_MurabahaFinancing_Open_MurabahaAccount_LivestockMedium&LongTerm_4016_ByMaker_B7,QA46,Infy@123,OIFAT,6246013,4016,100000,12,0,'1606624601301001,yes,12,monthly,03/10/2023,1,gregorian calendar,next day,'1606624601301001,01/01/2099,03/10/2023,,equal,successfully,,FCB-9979
FCB-9945,IslamicBanking_MurabahaFinancing_Open_MurabahaAccount_MicroFinanceCBEShortTerm_4017_ByMaker_B8,QA46,Infy@123,OIFAT,6246013,4017,100000,12,0,'1606624601301001,yes,12,monthly,03/10/2023,1,gregorian calendar,next day,'1606624601301001,01/01/2099,03/10/2023,,equal,successfully,,FCB-9980
FCB-9946,IslamicBanking_MurabahaFinancing_Open_MurabahaAccount_MicroFinanceCBEMedium&LongTerm_4018_ByMaker_B9,QA46,Infy@123,OIFAT,6246013,4018,100000,12,0,'1606624601301001,yes,12,monthly,03/10/2023,1,gregorian calendar,next day,'1606624601301001,01/01/2099,03/10/2023,,equal,successfully,,FCB-9981
FCB-9947,IslamicBanking_MurabahaFinancing_Open_MurabahaAccount_SMEs-S-CBE-ShortTerm_4000_ByMaker_B10,QA46,Infy@123,OIFAT,6246013,4000,100000,12,0,'1606624601301001,yes,12,monthly,03/10/2023,1,gregorian calendar,next day,'1606624601301001,01/01/2099,03/10/2023,,equal,successfully,,FCB-9982
