tcId,summary,username,password,menu,cif,schemeCode,valueDate,depositPeriodMonths,depositPeriodDays,initialDepositAmount,profitCreditAccountId,repaymentAccountId,debitAccountId,expectedResult,reference,linkedTcid,closeLinkedTcid
FCB-9862,IslamicBanking_MudarabahTUA_Open_IslamicTUAAccount_MTD2Y_ByMaker_A1,PT5,Infy@123,OITUDA,'06248951,1752,'15-11-2023,24,0,5000,'16060624895101023,'16060624895101023,'16060624895101023,successfully,'1752062489510100014,FCB-9863,FCB-9881
FCB-9864,IslamicBanking_MudarabahTUA_Open_IslamicTUAAccount_MTD3Y_ByMaker_B1,PT5,Infy@123,OITUDA,'06248951,1750,'15-11-2023,36,0,5000,'16060624895101023,'16060624895101023,'16060624895101023,successfully,'1750062489510100023,FCB-9865,FCB-20081
FCB-9866,IslamicBanking_MudarabahTUA_Open_IslamicTUAAccount_MTD5Y_ByMaker_C1,PT5,Infy@123,OITUDA,'06248951,1757,'15-11-2023,50,0,5000,'16060624895101023,'16060624895101023,'16060624895101023,successfully,'1757062489510100033,FCB-9867,FCB-20083
FCB-10147,IslamicBanking_WakalahTUA_Open_WTD07_Account_ByMaker_C1,PT5,Infy@123,OITUDA,'06248951,1751,'15-11-2023,0,7,5000,'16060624895101023,'16060624895101023,'16060624895101023,successfully,,FCB-10155,FCB-10177
FCB-10148,IslamicBanking_WakalahTUA_Open_WTD1M_Account_ByMaker_C2,PT5,Infy@123,OITUDA,'06248951,1753,'15-11-2023,1,0,5000,'16060624895101023,'16060624895101023,'16060624895101023,successfully,,FCB-10156,FCB-10179
FCB-10149,IslamicBanking_WakalahTUA_Open_WTD3M_Account_ByMaker_C3,PT5,Infy@123,OITUDA,'06248951,1754,'15-11-2023,3,0,5000,'16060624895101023,'16060624895101023,'16060624895101023,successfully,,FCB-10157,FCB-10181
FCB-10150,IslamicBanking_WakalahTUA_Open_WTD6M_Account_ByMaker_C4,PT5,Infy@123,OITUDA,'06248951,1755,'15-11-2023,6,0,5000,'16060624895101023,'16060624895101023,'16060624895101023,successfully,,FCB-10158,FCB-10183
FCB-10151,IslamicBanking_WakalahTUA_Open_WTD9M_Account_ByMaker_C5,PT5,Infy@123,OITUDA,'06248951,1756,'15-11-2023,9,0,5000,'16060624895101023,'16060624895101023,'16060624895101023,successfully,,FCB-10159,FCB-10185
FCB-10152,IslamicBanking_WakalahTUA_Open_WTD1Y_Account_ByMaker_C6,PT5,Infy@123,OITUDA,'06248951,1758,'15-11-2023,12,0,5000,'16060624895101023,'16060624895101023,'16060624895101023,successfully,,FCB-10160,FCB-10187
FCB-10153,IslamicBanking_WakalahTUA_Open_WTD2Y_Account_ByMaker_C7,PT5,Infy@123,OITUDA,'06248951,1760,'15-11-2023,24,0,5000,'16060624895101023,'16060624895101023,'16060624895101023,successfully,,FCB-10161,FCB-10189
FCB-10154,IslamicBanking_WakalahTUA_Open_WTD3Y_Account_ByMaker_C8,PT5,Infy@123,OITUDA,'06248951,1759,'15-11-2023,36,0,5000,'16060624895101023,'16060624895101023,'16060624895101023,successfully,,FCB-10162,FCB-10191
