tcId,summary,username,password,menu,cif,schemeCode,valueDate,depositPeriodMonths,depositPeriodDays,initialDepositAmount,profitCreditAccountId,repaymentAccountId,debitAccountId,expectedResult,reference,linkedTcid,closeLinkedTcid
FCB-10147,IslamicBanking_WakalahTUA_Open_WTD07_Account_ByMaker_C1,PT7,Infy@123,OTUDA,'06248951,1770,'15-11-2023,0,7,5000,'16060624895101023,'16060624895101023,'16060624895101023,successfully,'1770062489510100748,FCB-10155,FCB-10177
FCB-10148,IslamicBanking_WakalahTUA_Open_WTD1M_Account_ByMaker_C2,PT7,Infy@123,OTUDA,'06248951,1772,'15-11-2023,1,0,5000,'16060624895101023,'16060624895101023,'16060624895101023,successfully,'1772062489510100755,FCB-10156,FCB-10179
FCB-10149,IslamicBanking_WakalahTUA_Open_WTD3M_Account_ByMaker_C3,PT7,Infy@123,OTUDA,'06248951,1773,'15-11-2023,3,0,5000,'16060624895101023,'16060624895101023,'16060624895101023,successfully,'1773062489510100763,FCB-10157,FCB-10181
FCB-10150,IslamicBanking_WakalahTUA_Open_WTD6M_Account_ByMaker_C4,PT7,Infy@123,OTUDA,'06248951,1774,'15-11-2023,6,0,5000,'16060624895101023,'16060624895101023,'16060624895101023,successfully,'1774062489510100771,FCB-10158,FCB-10183
FCB-10151,IslamicBanking_WakalahTUA_Open_WTD9M_Account_ByMaker_C5,PT7,Infy@123,OTUDA,'06248951,1775,'15-11-2023,9,0,5000,'16060624895101023,'16060624895101023,'16060624895101023,successfully,'1775062489510100789,FCB-10159,FCB-10185
FCB-10152,IslamicBanking_WakalahTUA_Open_WTD1Y_Account_ByMaker_C6,PT7,Infy@123,OTUDA,'06248951,1777,'15-11-2023,12,0,5000,'16060624895101023,'16060624895101023,'16060624895101023,successfully,'1777062489510100796,FCB-10160,FCB-10187
FCB-10153,IslamicBanking_WakalahTUA_Open_WTD2Y_Account_ByMaker_C7,PT7,Infy@123,OTUDA,'06248951,1778,'15-11-2023,24,0,5000,'16060624895101023,'16060624895101023,'16060624895101023,successfully,'1778062489510100801,FCB-10161,FCB-10189
FCB-10154,IslamicBanking_WakalahTUA_Open_WTD3Y_Account_ByMaker_C8,PT7,Infy@123,OTUDA,'06248951,1779,'15-11-2023,36,0,5000,'16060624895101023,'16060624895101023,'16060624895101023,successfully,'1779062489510100819,FCB-10162,FCB-10191
FCB-14039,IslamicBanking_WakalahTUA_Open_WTD1Y_Account_Monthly_ByMaker_T1,PT7,Infy@123,OTUDA,'06248951,1780,'15-11-2023,12,0,5000,'16060624895101023,'16060624895101023,'16060624895101023,successfully,'1780062489510100824,FCB-14040,FCB-22629
FCB-14041,IslamicBanking_WakalahTUA_Open_WTD2Y_Account_Monthly_ByMaker_U1,PT7,Infy@123,OTUDA,'06248951,1782,'15-11-2023,24,0,5000,'16060624895101023,'16060624895101023,'16060624895101023,successfully,'1782062489510100831,FCB-14042,FCB-22630
FCB-14043,IslamicBanking_WakalahTUA_Open_WTD3Y_Account_Monthly_ByMaker_V1,PT7,Infy@123,OTUDA,'06248951,1784,'15-11-2023,36,0,5000,'16060624895101023,'16060624895101023,'16060624895101023,successfully,'1784062489510100848,FCB-14044,FCB-22631
FCB-14045,IslamicBanking_WakalahTUA_Open_WTD1Y_Account_Quarterly_ByMaker_W1,PT7,Infy@123,OTUDA,'06248951,1781,'15-11-2023,12,0,5000,'16060624895101023,'16060624895101023,'16060624895101023,successfully,'1781062489510100850,FCB-14046,FCB-22632
FCB-14047,IslamicBanking_WakalahTUA_Open_WTD2Y_Account_Quarterly_ByMaker_X1,PT7,Infy@123,OTUDA,'06248951,1783,'15-11-2023,24,0,5000,'16060624895101023,'16060624895101023,'16060624895101023,successfully,'1783062489510100867,FCB-14048,FCB-22633
FCB-14049,IslamicBanking_WakalahTUA_Open_WTD3Y_Account_Quarterly_ByMaker_Y1,PT7,Infy@123,OTUDA,'06248951,1785,'15-11-2023,36,0,5001,'16060624895101023,'16060624895101023,'16060624895101023,successfully,'1785062489510100874,FCB-14050,FCB-22634
FCB-22623,IslamicBanking_WakalahTUA_Open_AlKhayr3Years_Account_Monthly_ByMaker,PT7,Infy@123,OTUDA,'06248951,1786,'15-11-2023,36,0,5000,'16060624895101023,'16060624895101023,'16060624895101023,successfully,'1786062489510100882,FCB-22625,FCB-22627
FCB-22624,IslamicBanking_WakalahTUA_Open_AlKhayr3Years_Account_Annually_ByMaker,PT7,Infy@123,OTUDA,'06248951,1787,'15-11-2023,36,0,5000,'16060624895101023,'16060624895101023,'16060624895101023,successfully,'1787062489510100890,FCB-22626,FCB-22628
