"tcId","summary","username","password","menu","accountIdCr","ccyCr","accountIdDr","ccyDr","transactionAmount","expectedResult","reference"
"FCB-2167","Operations_TellerOperations_CashTransfer_CrossCurrency_USDtoEUR_Maker","QA4","infy@1234","MCITTD","'101000025695030037","EUR","'10100622648002701 ","USD","40","posted successfully",""
"FCB-2020","Operations_TellerOperation_CashTransfer_EGP_Maker","QA4","infy@1234","MCITTD","'100500003298010315","EGP","'100200003298011487","EGP","800","posted successfully",""
"FCB-2029","Operations_TellerOperation_CashTransfer_AED_Maker","QA4","infy@1234","MCITTD","'100601111111054902","AED","'100602222222050017 ","AED","25","posted successfully",""
"FCB-2035","Operations_TellerOperation_CashTransfer_AUD_Maker","QA4","infy@1234","MCITTD","'101002222222080024","AUD","'101001111111084919","AUD","25","posted successfully",""
"FCB-2032","Operations_TellerOperation_CashTransfer_CHF_Maker","QA4","infy@1234","MCITTD","","CHF","","CHF","25","posted successfully",""
"FCB-2102","Operations_TellerOperation_CashTransfer_CrossCurrency_Entry_Maker","QA4","infy@1234","MCITTD","'101000129882020112","USD","'100200003298011487","EGP","100","posted successfully",""
"FCB-2100","Operations_TellerOperation_CashTransfer_EGP_Entry_Maker","QA4","infy@1234","MCITTD","'100200003298011487","EGP","'100500003298010315","EGP","900","posted successfully",""
"FCB-2023","Operations_TellerOperation_CashTransfer_EUR_Maker","QA4","infy@1234","MCITTD","'101000025695030037","EUR","'1010623371713001","EUR","30","posted successfully",""
"FCB-2026","Operations_TellerOperation_CashTransfer_GBP_Maker","QA4","infy@1234","MCITTD","'110402222222040033","GBP","'110401111111044928","GBP","15","posted successfully",""
"FCB-2041","Operations_TellerOperation_CashTransfer_JPY_Maker","QA4","infy@1234","MCITTD","'101002222222090047","JPY","'101001111111094932","JPY","15","posted successfully",""
"FCB-2038","Operations_TellerOperation_CashTransfer_SAR_Maker","QA4","infy@1234","MCITTD","'101001111111074880 ","SAR","'101001111111074897","SAR","15","posted successfully",""
"FCB-2017","Operations_TellerOperation_CashTransfer_USD_Maker","QA4","infy@1234","MCITTD","'101000023329020027","USD","'10100622648002701 ","USD","60","posted successfully",""
"FCB-1976","Operations_TellerOperations_CashTransfer_Validate_ValueDate_Maker","QA4","infy@1234","MCITTD","'100200003298011487","EGP","'100500003298010315","EGP","450","posted successfully",""
"FCB-2006","Operations_TellerOperations_FundsTransfer_DifferentCustomerAccounts_EGP_Maker","QA4","infy@1234","MCITTD","'100200003298011487","EGP","'110100022953010030","EGP","300","posted successfully",""
"FCB-2005","Operations_TellerOperations_Fundsransfer_SameCustomerAccounts_EGP_Maker","QA4","infy@1234","MCITTD","'100200003298011487","EGP","'100500003298010315","EGP","400","posted successfully",""
"FCB-2007","Operations_TellerOperations_Validate_FundsTransfer_SameCustomerAccounts_RealTime_Maker","QA4","infy@1234","MCITTD","'100500003298010315","EGP","'100500003298010315","EGP","500","posted successfully",""
"FCB-2008","Operations_TellerOperations_Validate_Fundsransfer_differentCustomerAccounts_RealTime_Maker","QA4","infy@1234","MCITTD","'100200003298011487","EGP","'110100022953010030","EGP","600","posted successfully",""
"FCB-2011","Operations_TellerOperation_CrossCurrencyTransaction_Transfer_exchangedRate_USD_Maker","QA4","infy@1234","MCITTD","'101000129882020112","USD","'100200003298011487","EGP","100","posted successfully",""
"FCB-2163","Operations_TellerOperations_CashTransfer_CrossCurrency_EGPtoUSD_Maker","QA4","infy@1234","MCITTD","'101000129882020112","USD","'100200003298011487","EGP","150","posted successfully",""
"FCB-2164","Operations_TellerOperations_CashTransfer_CrossCurrency_USDtoEGP_Maker","QA4","infy@1234","MCITTD","'100200003298011487","EGP","'10100622648002701 ","USD","40","posted successfully",""
"FCB-2165","Operations_TellerOperations_CashTransfer_CrossCurrency_EGPtoEUR_Maker","QA4","infy@1234","MCITTD","'101000025695030037","EUR","'100500003298010315","EGP","30","posted successfully",""
"FCB-2166","Operations_TellerOperations_CashTransfer_CrossCurrency_EURtoEGP_Maker","QA4","infy@1234","MCITTD","'100500003298010315","EGP","'101000025695030037","EUR","20","posted successfully",""
"FCB-2168","Operations_TellerOperations_CashTransfer_CrossCurrency_EURtoUSD_Maker","QA4","infy@1234","MCITTD","'101000129882020112","USD","'101000025695030037","EUR","20","posted successfully",""
