"tcId","summary","username","password","menu","billType","type","month","day","billCcy","rateCode","cifId","underDocumentaryCredit","documentryCreditNo","operativeAccountId","bankRef","billAmt","bill1Amount","bill2Amount","billCountry","name","address1","billDate","onboardDate","dueDate","invoiceAmt","reference","linkedTcid","acceptLinkedTcid","verifyAcceptLinkedTcid","realizeLinkedTcid","verifyRealizeLinkedTcid","expectedResult"
"FCB-6999","TradeFinance_Import_Bills_Under_Collection_Lodge_Mixed Tenor_Local_EGP_ByMaker_R1","PT68","Infy@123","LIIB","LIBCM","mixed","6","0","EGP","","'06248759","no","","'11000624875901001","sd","2","1","1","EG","sad","sad","19/11/2023","19/11/2023","19/11/2024","1","'1408IDC23000096","FCB-7000","FCB-7001","FCB-7002","FCB-7005","FCB-7006","The bill ID is lodged successfully"
"FCB-6948","TradeFinance_Import_Bills_Under_Collection_Lodge_Usance_Local_EGP_ByMaker_J1","PT68","Infy@123","LIIB","LIBCU","Usance","6","0","EGP","","'06248759","no","","'11000624875901001","sd","1","","","EG","sad","sad","19/11/2023","19/11/2023","19/11/2024","1","'1401IDC23000055","FCB-6949","FCB-6950","FCB-6951","FCB-6954","FCB-6955","The bill ID is lodged successfully"
"FCB-6927","TradeFinance_Import_Bills_Under_Collection_Lodge_Sight_Foreign_EUR_ByMaker_F1","PT68","Infy@123","LIIB","FIBCS","Sight","","","EUR","CNS","'06617304","no","","'10100661730403001","sd","1","","","EG","sad","sad","19/11/2023","19/11/2023","19/11/2024","1","","FCB-6928","","","FCB-6929","FCB-6930","The bill ID is lodged successfully"
"FCB-7007","TradeFinance_Import_Bills_Under_Collection_Lodge_Mixed Tenor_Foreign_USD_ByMaker_S1","PT68","Infy@123","LIIB","FIBCM","mixed","6","0","USD","NOR","'06617304","no","","'10100661730402001","sd","2","1","1","EG","sad","sad","19/11/2023","19/11/2023","19/11/2024","1","","FCB-7008","FCB-7009","FCB-7010","FCB-7013","FCB-7014","The bill ID is lodged successfully"
"FCB-7015","TradeFinance_Import_Bills_Under_Collection_Lodge_Mixed Tenor_Foreign_EUR_ByMaker_AB1","PT68","Infy@123","LIIB","FIBCM","mixed","6","0","EUR","CNS","'06617304","no","","'10100661730403001","sd","2","1","1","EG","sad","sad","19/11/2023","19/11/2023","19/11/2024","1","","FCB-7016","FCB-7017","FCB-7018","FCB-7023","FCB-7024","The bill ID is lodged successfully"
"FCB-6901","TradeFinance_Import_Bills_Under_Collection_Lodge_Sight_Counter IDCs_Local_EGP_ByMaker_A1","PT68","Infy@123","LIIB","LIBCS","Sight","","","EGP","","'06248759","no","","'11000624875901001","sd","1","","","EG","sad","sad","19/11/2023","19/11/2023","19/11/2024","1","","FCB-6902","","","","","The bill ID is lodged successfully"
"FCB-6915","TradeFinance_Import_Bills_Under_Collection_Lodge_Sight_Foreign_USD_ByMaker_C1","PT68","Infy@123","LIIB","FIBCS","Sight","","","USD","NOR","'06617304","no","","'10100661730402001","sd","1","","","EG","sad","sad","19/11/2023","19/11/2023","19/11/2024","1","","FCB-6916","","","FCB-6917","FCB-6918","The bill ID is lodged successfully"
"FCB-6966","TradeFinance_Import_Bills_Under_Collection_Lodge_Usance_Foreign_EUR_ByMaker_L1","PT68","Infy@123","LIIB","FIBCU","Usance","3","1","EUR","CNS","'06617304","no","","'10100661730403001","sd","1","","","EG","sad","sad","19/11/2023","19/11/2023","19/11/2024","1","","FCB-6967","FCB-6968","FCB-6969","FCB-6972","FCB-6973","The bill ID is lodged successfully"
"FCB-7397","TradeFinance_Import_Bills_Under_Documentary_Credit_Lodge_Usance_Foreign_EUR_ByMaker_B1","PT68","Infy@123","LIIB","FIBLU","Usance","6","0","EUR","CNS","'06617304","yes","'1408ILC23000004","'10100661730403001","sd","1","","","EG","sad","sad","19/11/2023","19/11/2023","19/11/2024","1","","FCB-7398","FCB-7399","FCB-7400","FCB-7403","FCB-7404","The bill ID is lodged successfully"
"FCB-7439","TradeFinance_Import_Bills_Under_Documentary_Credit_Lodge_Sight_local_EGP_ByMaker_U1","PT68","Infy@123","LIIB","LIBLS","Sight","","","EGP","","'06248759","yes","'1408ILC23000003","'11000624875901001","sd","1","","","EG","sad","sad","19/11/2023","19/11/2023","19/11/2024","1","","FCB-7440","","","","","The bill ID is lodged successfully"
"FCB-7429","TradeFinance_Import_Bills_Under_Documentary_Credit_Lodge_Sight_Foreign_USD_ByMaker_M1","PT68","Infy@123","LIIB","FIBLS","Sight","","","USD","NOR","'06617304","yes","'1408ILC23000005","'10100661730402001","sd","1","","","EG","sad","sad","19/11/2023","19/11/2023","19/11/2024","1","","FCB-7430","","","","","The bill ID is lodged successfully"
