tcId,summary,username,password,menu,accountId,expectedResult
FCB-12040,Assets_CLA_Corporate_Verify_ManualDisbursement_Full_BackDated_Gross_UnsecuredLoan_EGP_ByChecker_M2,PT18,Infy@123,VCLDR,''2292065788240100899 ,successfully
FCB-12042,Assets_CLA_Corporate_Verify_ManualDisbursement_Full_CurrentDate_Net_UnsecuredLoan_EGP_ByChecker_N2,PT18,Infy@123,VCLDR,''2293065788240100904 ,successfully
FCB-12044,Assets_CLA_Corporate_Verify_ManualDisbursement_Full_UnsecuredLoan_USD_ByChecker_O2,PT18,Infy@123,VCLDR,''2294065788240100912 ,successfully
FCB-12046,Assets_CLA_Corporate_Verify_ManualDisbursement_Full_FutureDate_UnsecuredLoan_EGP_ByChecker_P2,PT18,Infy@123,VCLDR,''2295065788240100920 ,successfully
FCB-12048,Assets_CLA_Corporate_Verify_ManualDisbursement_Partial_BackDated_Gross_UnsecuredLoan_EGP_ByChecker_Q2,PT18,Infy@123,VCLDR,''2296065788240100938 ,successfully
FCB-12050,Assets_CLA_Corporate_Verify_ManualDisbursement_Partial_CurrentDate_Net_UnsecuredLoan_EGP_ByChecker_R2,PT18,Infy@123,VCLDR,''2292065788240100941 ,successfully
FCB-12052,Assets_CLA_Corporate_Verify_ManualDisbursement_Partial_FutureDate_UnsecuredLoan_EGP_ByChecker_S2,PT18,Infy@123,VCLDR,''2293065788240100959 ,successfully
FCB-22651,Assets_CLA_Corporate_Verify_ManualDisbursement_Full_CurrentDate_Net_UnsecuredLoan_EGP_ByChecker,PT18,Infy@123,VCLDR,''2294065788240100967 ,successfully
FCB-22652,Assets_CLA_Corporate_Verify_ManualDisbursement_Full_CurrentDate_Net_UnsecuredLoan_EGP_ByChecker,PT18,Infy@123,VCLDR,''2295065788240100975 ,successfully
FCB-22653,Assets_CLA_Corporate_Verify_ManualDisbursement_Full_CurrentDate_Net_UnsecuredLoan_EGP_ByChecker,PT18,Infy@123,VCLDR,''2296065788240100983 ,successfully
