tcId,summary,username,password,menu,accountId,expectedResult
FCB-9973,IslamicBanking_MurabahaFinancing_Verify_MurabahaAccount_CarsShortTerm_4010_ByChecker_C1,ABE30,Infy@123,AIFAT,,successfully
FCB-9974,IslamicBanking_MurabahaFinancing_Verify_MurabahaAccount_CarsMedium&LongTerm_4011_ByChecker_C2,ABE30,Infy@123,AIFAT,,successfully
FCB-9975,IslamicBanking_MurabahaFinancing_Verify_MurabahaAccount_MicroFinanceShortTerm_4012_ByChecker_C3,ABE30,Infy@123,AIFAT,'40120624601301314390,successfully
FCB-9976,IslamicBanking_MurabahaFinancing_Verify_MurabahaAccount_RetailProjectsShortTerm_4013_ByChecker_C4,ABE30,Infy@123,AIFAT,'40130624601301314405,successfully
FCB-9977,IslamicBanking_MurabahaFinancing_Verify_MurabahaAccount_RetailProjectsMedium&LongTerm_4014_ByChecker_C5,ABE30,Infy@123,AIFAT,,successfully
FCB-9978,IslamicBanking_MurabahaFinancing_Verify_MurabahaAccount_LivestockShortTerm_4015_ByChecker_C6,ABE30,Infy@123,AIFAT,,successfully
FCB-9979,IslamicBanking_MurabahaFinancing_Verify_MurabahaAccount_LivestockMedium&LongTerm_4016_ByChecker_C7,ABE30,Infy@123,AIFAT,,successfully
FCB-9980,IslamicBanking_MurabahaFinancing_Verify_MurabahaAccount_MicroFinanceCBEShortTerm_4017_ByChecker_C8,ABE30,Infy@123,AIFAT,,successfully
FCB-9981,IslamicBanking_MurabahaFinancing_Verify_MurabahaAccount_MicroFinanceCBEMedium&LongTerm_4018_ByChecker_C9,ABE30,Infy@123,AIFAT,,successfully
FCB-9982,IslamicBanking_MurabahaFinancing_Verify_MurabahaAccount_SMEs-S-CBE-ShortTerm_4000_ByChecker_C10,ABE30,Infy@123,AIFAT,,successfully
