tcId,summary,username,password,menu,accountId,expectedResult
FCB-11192,Liabilities_Deposit_Verify_TimeDeposit_TM2_EGP_MinimumAmount_Checker,ABE36,Infy@123,INSTTD,,verified successfully
FCB-11255,Liabilities_Deposit_Verify_TimeDeposit_TY3_EUR_3YEAR_Checker,ABE36,Infy@123,INSTTD,'11560111111103005493,verified successfully
FCB-11170,Liabilities_Deposit_Verify_TimeDeposit_TW14_EGP_MinimumAmount_Checker,ABE36,Infy@123,INSTTD,,verified successfully.
FCB-11181,Liabilities_Deposit_Verify_TimeDeposit_TM1_EGP_MinimumAmount_Checker,ABE36,Infy@123,INSTTD,,verified successfully.
FCB-11178,Liabilities_Deposit_Verify_TimeDeposit_TM1_EUR_1MON_Checker,ABE36,Infy@123,INSTTD,,verified successfully.
FCB-11168,Liabilities_Deposit_Verify_TimeDeposit_TW7_EGP_MinimumAmount_Checker,ABE36,Infy@123,INSTTD,,verified successfully.
FCB-11172,Liabilities_Deposit_Verify_TimeDeposit_TM1_USD_1MON_Checker,ABE36,Infy@123,INSTTD,,verified successfully.
FCB-11175,Liabilities_Deposit_Verify_TimeDeposit_TM1_GBP_1MON_Checker,ABE36,Infy@123,INSTTD,,verified successfully.
FCB-11183,Liabilities_Deposit_Verify_TimeDeposit_TM2_USD_2MON_Checker,ABE36,Infy@123,INSTTD,,verified successfully.
FCB-11186,Liabilities_Deposit_Verify_TimeDeposit_TM2_GBP_2MON_Checker,ABE36,Infy@123,INSTTD,,verified successfully
FCB-11189,Liabilities_Deposit_Verify_TimeDeposit_TM2_EUR_2MON_Checker,ABE36,Infy@123,INSTTD,,verified successfully
FCB-11194,Liabilities_Deposit_Verify_TimeDeposit_TM3_USD_3MON_Checker,ABE36,Infy@123,INSTTD,,verified successfully
FCB-11197,Liabilities_Deposit_Verify_TimeDeposit_TM3_GBP_3MON_Checker,ABE36,Infy@123,INSTTD,,verified successfully
FCB-11200,Liabilities_Deposit_Verify_TimeDeposit_TM3_EUR_3MON_Checker,ABE36,Infy@123,INSTTD,,verified successfully
FCB-11203,Liabilities_Deposit_Verify_TimeDeposit_TM3_EGP_MinimumAmount_Checker,ABE36,Infy@123,INSTTD,,verified successfully
FCB-11205,Liabilities_Deposit_Verify_TimeDeposit_TM6_USD_6MON_Checker,ABE36,Infy@123,INSTTD,,verified successfully
FCB-11208,Liabilities_Deposit_Verify_TimeDeposit_TM6_GBP_6MON_Checker,ABE36,Infy@123,INSTTD,,verified successfully
FCB-11211,Liabilities_Deposit_Verify_TimeDeposit_TM6_EUR_6MON_Checker,ABE36,Infy@123,INSTTD,,verified successfully
FCB-11214,Liabilities_Deposit_Verify_TimeDeposit_TM6_EGP_MinimumAmount_Checker,ABE36,Infy@123,INSTTD,,verified successfully
FCB-11216,Liabilities_Deposit_Verify_TimeDeposit_TM9_USD_9MON_Checker,ABE36,Infy@123,INSTTD,,verified successfully
FCB-11219,Liabilities_Deposit_Verify_TimeDeposit_TM9_GBP_9MON_Checker,ABE36,Infy@123,INSTTD,,verified successfully
FCB-11222,Liabilities_Deposit_Verify_TimeDeposit_TM9_EUR_9MON_Checker,ABE36,Infy@123,INSTTD,,verified successfully
