"tcId","summary","username","password","menu","accountId","expectedResult"
"FCB-9882","IslamicBanking_Verify_Preclosure_MudarabahTUA_MTD2Y_RepaymentAccount_ByChecker_F2","PT8","Infy@123","VITUDAC","","successfully"
"FCB-20082","IslamicBanking_Verify_Preclosure_MudarabahTUA_MTD3Y_RepaymentAccount_ByChecker_P2","PT8","Infy@123","VITUDAC","","successfully"
"FCB-20084","IslamicBanking_Verify_Preclosure_MudarabahTUA_MTD5Y_RepaymentAccount_ByChecker_Q2","PT8","Infy@123","VITUDAC","","successfully"
"FCB-10178","IslamicBanking_WakalahTUA_Verify_Preclosure_WakalahTUA_WTD07_ByChecker_H2","PT8","Infy@123","VITUDAC","","successfully"
"FCB-10180","IslamicBanking_WakalahTUA_Verify_Preclosure_WakalahTUA_WTD1M_ByChecker_I2","PT8","Infy@123","VITUDAC","","successfully"
"FCB-10182","IslamicBanking_WakalahTUA_Verify_Preclosure_WakalahTUA_WTD3M_ByChecker_J2","PT8","Infy@123","VITUDAC","","successfully"
"FCB-10184","IslamicBanking_WakalahTUA_Verify_Preclosure_WakalahTUA_WTD6M_ByChecker_K2","PT8","Infy@123","VITUDAC","","successfully"
"FCB-10186","IslamicBanking_WakalahTUA_Verify_Preclosure_WakalahTUA_WTD9M_ByChecker_L2","PT8","Infy@123","VITUDAC","","successfully"
"FCB-10188","IslamicBanking_WakalahTUA_Verify_Preclosure_WakalahTUA_WTD1Y_ByChecker_M2","PT8","Infy@123","VITUDAC","","successfully"
"FCB-10190","IslamicBanking_WakalahTUA_Verify_Preclosure_WakalahTUA_WTD2Y_ByChecker_N2","PT8","Infy@123","VITUDAC","","successfully"
"FCB-10192","IslamicBanking_WakalahTUA_Verify_Preclosure_WakalahTUA_WTD3Y_ByChecker_O2","PT8","Infy@123","VITUDAC","","successfully"
