tcId,summary,username,password,menu,accountId,expectedResult
FCB-9863,IslamicBanking_MudarabahTUA_Verify_IslamicTUAAccount_MTD2Y_ByChecker_A2,PT6,Infy@123,VITUDAO,'17520624601301005243,successfully
FCB-9865,IslamicBanking_MudarabahTUA_Verify_IslamicTUAAccount_MTD3Y_ByChecker_B2,PT6,Infy@123,VITUDAO,'17500624601301005252,successfully
FCB-9867,IslamicBanking_MudarabahTUA_Verify_IslamicTUAAccount_MTD5Y_ByChecker_C2,PT6,Infy@123,VITUDAO,'17570624601301005262,successfully
FCB-10155,IslamicBanking_WakalahTUA_Verify_WTD07_Account_ByChecker_D1,PT6,Infy@123,VITUDAO,'17510624601301005275,successfully
FCB-10156,IslamicBanking_WakalahTUA_Verify_WTD1M_Account_ByChecker_D2,PT6,Infy@123,VITUDAO,'17530624601301005280,successfully
FCB-10157,IslamicBanking_WakalahTUA_Verify_WTD3M_Account_ByChecker_D3,PT6,Infy@123,VITUDAO,'17540624601301005296,successfully
FCB-10158,IslamicBanking_WakalahTUA_Verify_WTD6M_Account_ByChecker_D4,PT6,Infy@123,VITUDAO,'17550624601301005301,successfully
FCB-10159,IslamicBanking_WakalahTUA_Verify_WTD9M_Account_ByChecker_D5,PT6,Infy@123,VITUDAO,'17560624601301005317,successfully
FCB-10160,IslamicBanking_WakalahTUA_Verify_WTD1Y_Account_ByChecker_D6,PT6,Infy@123,VITUDAO,'17580624601301005322,successfully
FCB-10161,IslamicBanking_WakalahTUA_Verify_WTD2Y_Account_ByChecker_D7,PT6,Infy@123,VITUDAO,'17600624601301005334,successfully
FCB-10162,IslamicBanking_WakalahTUA_Verify_WTD3Y_Account_ByChecker_D8,PT6,Infy@123,VITUDAO,'17590624601301005345,successfully
