tcId,summary,username,password,menu,accountId,expectedResult
FCB-10178,IslamicBanking_WakalahTUA_Verify_Preclosure_WakalahTUA_WTD07_ByChecker_H2,PT10,Infy@123,VTDAC,'1770062489510100748,successfully
FCB-10180,IslamicBanking_WakalahTUA_Verify_Preclosure_WakalahTUA_WTD1M_ByChecker_I2,PT10,Infy@123,VTDAC,'1772062489510100755,successfully
FCB-10182,IslamicBanking_WakalahTUA_Verify_Preclosure_WakalahTUA_WTD3M_ByChecker_J2,PT10,Infy@123,VTDAC,'1773062489510100763,successfully
FCB-10184,IslamicBanking_WakalahTUA_Verify_Preclosure_WakalahTUA_WTD6M_ByChecker_K2,PT10,Infy@123,VTDAC,'1774062489510100771,successfully
FCB-10186,IslamicBanking_WakalahTUA_Verify_Preclosure_WakalahTUA_WTD9M_ByChecker_L2,PT10,Infy@123,VTDAC,'1775062489510100789,successfully
FCB-10188,IslamicBanking_WakalahTUA_Verify_Preclosure_WakalahTUA_WTD1Y_ByChecker_M2,PT10,Infy@123,VTDAC,'1777062489510100796,successfully
FCB-10190,IslamicBanking_WakalahTUA_Verify_Preclosure_WakalahTUA_WTD2Y_ByChecker_N2,PT10,Infy@123,VTDAC,'1778062489510100801,successfully
FCB-10192,IslamicBanking_WakalahTUA_Verify_Preclosure_WakalahTUA_WTD3Y_ByChecker_O2,PT10,Infy@123,VTDAC,'1779062489510100819,successfully
FCB-22637,IslamicBanking_WakalahTUA_Verify_Preclosure_WTD1Y_Account_Monthly_ByChecker,PT10,Infy@123,VTDAC,'1780062489510100824,successfully
FCB-22638,IslamicBanking_WakalahTUA_Verify_Preclosure_WTD2Y_Account_Monthly_ByChecker,PT10,Infy@123,VTDAC,'1782062489510100831,successfully
FCB-22639,IslamicBanking_WakalahTUA_Verify_Preclosure_WTD3Y_Account_Monthly_ByChecker,PT10,Infy@123,VTDAC,'1784062489510100848,successfully
FCB-22640,IslamicBanking_WakalahTUA_Verify_Preclosure_WTD1Y_Account_Quarterly_ByChecker,PT10,Infy@123,VTDAC,'1781062489510100850,successfully
FCB-22641,IslamicBanking_WakalahTUA_Verify_Preclosure_WTD2Y_Account_Quarterly_ByChecker,PT10,Infy@123,VTDAC,'1783062489510100867,successfully
FCB-22642,IslamicBanking_WakalahTUA_Verify_Preclosure_WTD3Y_Account_Quarterly_ByChecker,PT10,Infy@123,VTDAC,'1785062489510100874,successfully
FCB-22635,IslamicBanking_WakalahTUA_Verify_Preclosure_AlKhayr3Years_Account_Monthly_ByChecker,PT10,Infy@123,VTDAC,'1786062489510100882,successfully
FCB-22636,IslamicBanking_WakalahTUA_Verify_Preclosure_AlKhayr3Years_Account_Annually_ByChecker,PT10,Infy@123,VTDAC,'1787062489510100890,successfully
