tcId,summary,username,password,menu,accountId,expectedResult
FCB-10155,IslamicBanking_WakalahTUA_Verify_WTD07_Account_ByChecker_D1,PT8,Infy@123,VTUDAO,'1770062489510100748,successfully
FCB-10156,IslamicBanking_WakalahTUA_Verify_WTD1M_Account_ByChecker_D2,PT8,Infy@123,VTUDAO,'1772062489510100755,successfully
FCB-10157,IslamicBanking_WakalahTUA_Verify_WTD3M_Account_ByChecker_D3,PT8,Infy@123,VTUDAO,'1773062489510100763,successfully
FCB-10158,IslamicBanking_WakalahTUA_Verify_WTD6M_Account_ByChecker_D4,PT8,Infy@123,VTUDAO,'1774062489510100771,successfully
FCB-10159,IslamicBanking_WakalahTUA_Verify_WTD9M_Account_ByChecker_D5,PT8,Infy@123,VTUDAO,'1775062489510100789,successfully
FCB-10160,IslamicBanking_WakalahTUA_Verify_WTD1Y_Account_ByChecker_D6,PT8,Infy@123,VTUDAO,'1777062489510100796,successfully
FCB-10161,IslamicBanking_WakalahTUA_Verify_WTD2Y_Account_ByChecker_D7,PT8,Infy@123,VTUDAO,'1778062489510100801,successfully
FCB-10162,IslamicBanking_WakalahTUA_Verify_WTD3Y_Account_ByChecker_D8,PT8,Infy@123,VTUDAO,'1779062489510100819,successfully
FCB-14040,IslamicBanking_WakalahTUA_Verify_WTD1Y_Account_Monthly_ByChecker_T2,PT8,Infy@123,VTUDAO,'1780062489510100824,successfully
FCB-14042,IslamicBanking_WakalahTUA_Verify_WTD2Y_Account_Monthly_ByChecker_U2,PT8,Infy@123,VTUDAO,'1782062489510100831,successfully
FCB-14044,IslamicBanking_WakalahTUA_Verify_WTD3Y_Account_Monthly_ByChecker_V2,PT8,Infy@123,VTUDAO,'1784062489510100848,successfully
FCB-14046,IslamicBanking_WakalahTUA_Verify_WTD1Y_Account_Quarterly_ByChecker_W2,PT8,Infy@123,VTUDAO,'1781062489510100850,successfully
FCB-14048,IslamicBanking_WakalahTUA_Verify_WTD2Y_Account_Quarterly_ByChecker_X2,PT8,Infy@123,VTUDAO,'1783062489510100867,successfully
FCB-14050,IslamicBanking_WakalahTUA_Verify_WTD3Y_Account_Quarterly_ByChecker_Y2,PT8,Infy@123,VTUDAO,'1785062489510100874,successfully
FCB-22625,IslamicBanking_WakalahTUA_Verify_AlKhayr3Years_Account_Monthly_ByChecker,PT8,Infy@123,VTUDAO,'1786062489510100882,successfully
FCB-22626,IslamicBanking_WakalahTUA_Verify_AlKhayr3Years_Account_Annually_ByChecker,PT8,Infy@123,VTUDAO,'1787062489510100890,successfully
