tcId,summary,username,password,menu,cif,schemeCode,currency,types,cifType,documentDate,expiryDate,tenor,dropdownMenu,collateralCode,modifyLoan,apportionedAmount,withdrawal,entityId,entityId1,expectedResult,reference,linkedTcid2,linkedTcid
FCB-13328,Assets_ODA_Retail_Create_OverdraftAccount_Secured_SOVD_SecuredOverDraft_LinkSingleDepositCollateral_EGP_ByMaker_A1,ABE95,Infy@123,OOA,"""3054733",5000,,Secured,Retail,"""31/10/2023","""03/10/2025",12,,DEPOCERT,,100,100,"""115962360850100010",,successfully,'500003054733010012,FCB-22480,FCB-13329
FCB-13410,Assets_ODA_Retail_Create_OverdraftAccount_Secured_SOVD_LinkMultipleDepositCollateral_EGP_ByMaker_T1,ABE83,Infy@123,OOA,"""302137 ",5000,,Secured,Retail,"""31/10/2023","""03/10/2026",12,,DEPOCERT,,100,100,"""11869534470100041","""11655532820100488",successfully,'500000302137010019,FCB-22481,FCB-13411
FCB-13365,Assets_ODA_Retail_Create_SecuredOverdraftAccount_ModifyLoanToValue_EGP_ByMaker_J1,ABE95,Infy@123,OOA,"""2150132",5000,,Secured,Retail,"""31/10/2023","""03/10/2025",12,,DEPOCERT,"""90.000000",100,100,"""116525583120100011",,successfully,'500002150132010019,FCB-22482,FCB-13366
FCB-22468,Assets_ODA_Retail_Create_ModifiedOverdraftAccount_EditExpiryDateField_EGP_ByChecker_B1,ABE83,Infy@123,OOA,"""2210958",5000,,Secured,Retail,"""31/10/2023","""03/10/2025",12,,DEPOCERT,,100,100,"""115462162940100009",,successfully,'500002210958010010,FCB-13339,FCB-13340
FCB-22471,Assets_ODA_Retail_Create_OverdraftAccount_EditStatementFrequencyField_EGP_ByChecker_C1,ABE95,Infy@123,OOA,"""2532482",5000,,Secured,Retail,"""31/10/2023","""03/10/2025",12,,DEPOCERT,,100,100,"""115462162940100008",,successfully,'500002532482010015,FCB-13341,FCB-13342
FCB-13870,Assets_ODA_Corporate_Create_OverdraftAccount_Secured_SOVD_SecuredOverDraft_LinkSingleDepositCollateral_EGP_ByMaker_A1,ABE95,Infy@123,OOA,"""00001559",5022,,Secured,Corporate,"""31/10/2023","""12/10/2024",12,,DEPOCERT,,100,100,"""115462162940100013",,successfully,'1401502010000114,FCB-22470,FCB-13871
FCB-22472,Assets_ODA_Retail_Create_DrawingPower_Derived_ForSecuredOverdraft_EGP_ByMaker_E1,ABE83,Infy@123,OOA,"""2945029",5001,,Unsecured,Retail,"""31/10/2023","""03/10/2025",12,Derived,,,,100,,,successfully,'500102945029010268,FCB-13349,FCB-22473
FCB-13969,Assets_ODA_Corporate_Create_OverdraftAccount_Secured_SOVD_LinkMultipleDepositCollateral_EGP_ByMaker_W1,ABE95,Infy@123,OOA,"""6236038",5022,,Secured,Corporate,"""31/10/2023","""03/10/2026",12,,DEPOCERT,,100,100,"""116515541830100020","""116520742670100009",successfully,'1401502010000121,FCB-22478,FCB-13970
FCB-13912,Assets_ODA_Corporate_Create_SecuredOverdraftAccount_ModifyLoanToValue_EGP_ByMaker_L1,ABE83,Infy@123,OOA,"""667034 ",5022,,Secured,Corporate,"""31/10/2023","""12/10/2024",12,,DEPOCERT,"""90.000000",100,100,"""116530215370100004",,successfully,'1401502010000138,FCB-22479,FCB-13913
FCB-13872,Assets_ODA_Corporate_Create_OverdraftAccount_UnSecured_ODUNS_EGP_ByChecker_B1,ABE95,Infy@123,OOA,"""6233421",5013,,Unsecured,Corporate,"""31/10/2023","""12/10/2024",12,Equal,,,,100,,,successfully,'501306233421010096,FCB-13882,FCB-13873
FCB-13963,Assets_ODA_Corporate_Create_OverdraftAccount_UnSecured_ODUNS_USD_ByChecker_V1,ABE83,Infy@123,OOA,"""6248724",5013,USD,Unsecured,Corporate,"""31/10/2023","""12/10/2024",12,Equal,,,,100,,,successfully,'501306248724020093,FCB-13884,FCB-13964
FCB-22474,Assets_ODA_Corporate_Create_DrawingPower_Equal_EGP_ByMaker_F1,ABE95,Infy@123,OOA,"""6227505",5013,,Unsecured,Corporate,"""31/10/2023","""12/10/2024",12,Equal,,,,100,,,successfully,'501306227505010207,FCB-13894,FCB-13895
FCB-22475,Assets_ODA_Corporate_Create_DrawingPower_Equal_ForSecuredOverdraft_EGP_ByMaker_G1,ABE83,Infy@123,OOA,"""6252281",5013,,Unsecured,Corporate,"""31/10/2023","""12/10/2024",12,Equal,,,,100,,,successfully,'501306252281010196,FCB-13896,FCB-13897
FCB-22476,Assets_ODA_Corporate_Create_DrawingPower_Equal_EGP_ByMaker_I1,ABE95,Infy@123,OOA,"""6235594",5013,,Unsecured,Corporate,"""31/10/2023","""12/10/2024",12,Equal,,,,100,,,successfully,'501306235594010057,FCB-13900,FCB-13901
FCB-22477,Assets_ODA_Corporate_Create_DrawingPower_Equal_EGP_ByMaker_H1,ABE83,Infy@123,OOA,"""6228508",5013,,Unsecured,Corporate,"""31/10/2023","""12/10/2024",12,Equal,,,,100,,,successfully,'501306228508010238,FCB-13898,FCB-13899
