tcId,summary,username,password,menu,accountId,expectedResult
FCB-13329,Assets_ODA_Retail_Verify_OverdraftAccount_Secured_SOVD_SecuredOverDraft_LinkSingleDepositCollateral_EGP_ByChecker_A2,ABE98,Infy@123,VOAO,'500003054733010012,successfully
FCB-13411,Assets_ODA_Retail_Verify_OverdraftAccount_Secured_SOVD_LinkMultipleDepositCollateral_EGP_ByChecker_T2,ABE89,Infy@123,VOAO,'500000302137010019,successfully
FCB-13366,Assets_ODA_Retail_Verify_SecuredOverdraftAccount_ModifyLoanToValue_EGP_ByMaker_J2,ABE98,Infy@123,VOAO,'500002150132010019,successfully
FCB-13340,Assets_ODA_Retail_Verify_ModifiedOverdraftAccount_EditExpiryDateField_EGP_ByChecker_B2,ABE89,Infy@123,VOAO,'500002210958010010,successfully
FCB-13342,Assets_ODA_Retail_Verify_OverdraftAccount_EditStatementFrequencyField_EGP_ByChecker_C2,ABE98,Infy@123,VOAO,'500002532482010015,successfully
FCB-13871,Assets_ODA_Corporate_Verify_OverdraftAccount_Secured_ODSEC_LinkSingleDepositCollateral_EGP_ByChecker_A2,ABE98,Infy@123,VOAO,'1401502010000114,successfully
FCB-22473,Assets_ODA_Retail_Verify_DrawingPower_Derived_ForSecuredOverdraft_EGP_ByMaker_E2,ABE89,Infy@123,VOAO,'500102945029010268,successfully
FCB-13970,Assets_ODA_Corporate_Verify_OverdraftAccount_Secured_ODSEC_LinkMultipleDepositCollateral_EGP_ByChecker_W2,ABE89,Infy@123,VOAO,'1401502010000121,successfully
FCB-13913,Assets_ODA_Corporate_Verify_OverdraftAccount_ModifyLoanToValue_EGP_ByChecker_L2,ABE98,Infy@123,VOAO,'1401502010000138,successfully
FCB-13873,Assets_ODA_Corporate_Verify_OverdraftAccount_UnSecured_ODUNS_EGP_ByChecker_B2,ABE89,Infy@123,VOAO,'501306233421010096,successfully
FCB-13964,Assets_ODA_Corporate_Verify_OverdraftAccount_UnSecured_ODUNS_USD_ByChecker_V2,ABE98,Infy@123,VOAO,'501306248724020093,successfully
FCB-13895,Assets_ODA_Corporate_Verify_ModifiedDrawingPower_Maintained_EGP_ByChecker_F2,ABE89,Infy@123,VOAO,'501306227505010207,successfully
FCB-13897,Assets_ODA_Corporate_Verify_ModifiedDrawingPower_Derived_ForSecuredOverdraft_EGP_ByChecker_G2,ABE98,Infy@123,VOAO,'501306252281010196,successfully
FCB-13901,Assets_ODA_Corporate_Verify_ModifiedDrawingPower_Parent_EGP_ByChecker_I2,ABE98,Infy@123,VOAO,'501306235594010057,successfully
FCB-13899,Assets_ODA_Corporate_Verify_ModifiedDrawingPower_Equal_EGP_ByChecker_H2,ABE89,Infy@123,VOAO,'501306228508010238,successfully
